Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Afghanistan,3.185739075820959,-0.11178999840321426,-0.9705374094132446,-1.1943807258334709,-0.4135192074818663,1.2769890613372297,0.8715384621146347,1.1216969843324711,0.7277903562880512,-0.2472675781048776,-0.04159099594812241
Albania,-0.5613974507376318,-0.6332368033508085,0.9077357069251777,0.6610613310735023,-0.41566724207802186,0.6711280244887446,-0.29219586105273354,0.10831549669002109,-0.6459109259953657,0.9191585570820779,0.5070110055136653
Algeria,0.28803937989937123,2.517727432473818,0.9505558662141719,0.011977583978393427,-1.917826279393405,-0.8215416341488991,0.5014980194569159,-0.3765419047063341,0.49828678772290824,0.2132421903393949,-0.4249901090345884
Andorra,-2.65750424402473,-2.063597997393546,0.09274000312865346,0.4182431099696177,0.644940566593674,-1.2554129520824724,0.6343441535033141,-0.9073018829418087,-0.5083924229861754,1.8133791880101766,0.04064191770099349
Angola,4.746226945738669,2.109439481207112,-0.3969447334245316,0.7897982228717159,2.743536308052565,-0.9486480013619673,2.2657736711724072,-0.1002941857883216,-1.052739784149033,-0.7370730788933426,1.1873492926939049
Antigua and Barbuda,-0.7226283614942477,-1.4995508389671848,2.2040038602284713,0.41958709896636165,-0.8263600701427546,0.9174586201762571,-0.3886221011342187,-0.38918362083194197,-0.882043233649254,-0.7068807594796184,-0.6609302467038992
Argentina,-2.3023849519461046,3.046233815810583,-0.06557795801597427,2.1877969390395173,-1.5679827151593944,-0.3832767526810417,2.07654976005673,0.06579460924144376,-0.2993421175952669,-0.330572930697503,-1.286338565309887
Armenia,0.054456156680311896,-0.1889662744920822,1.3411353586839068,1.4015788227307788,-0.32276516315162923,1.1419734718062269,-0.16181694763959362,0.2273199544542384,-0.02554549425721585,0.7972510053285793,0.9462434784258013
Aruba,-1.2173494525708,-1.4440819438583947,1.2085364075374623,0.4932568725013818,-0.4428268789500848,0.33429185134916783,-0.44994963868614957,-0.11487339759645147,-0.784059562015152,0.34165980449596656,0.028698154763251743
Australia,-4.610700484367203,1.1073550649537227,-1.5280104401859915,-1.2428781809521827,-0.1569724349033427,-1.4625926684020993,1.5630292628298723,0.32690930168910887,0.21411931514674476,0.11997966292761557,-0.5791501096818359
Austria,-4.497774207343574,-0.8993790614502155,-1.566132078868542,0.7580720406603609,0.5341058562013995,0.08458744338719414,0.5660820185014309,-0.024813994845485448,-0.2544729732494241,-0.316675769185638,-0.2661128649387763
Azerbaijan,0.3381928401420859,1.0866011600042007,1.2327238872068467,0.7557566166316398,0.5459972681997818,0.40703048429143973,0.5382247551159616,0.05926668985920291,-0.09500033356975165,1.2983883752841219,-0.18565784123249957
