Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Population 65+,Population Total,Population Urban,Tourism Inbound,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend,KMeans_Cluster,GMM_Cluster,GMM_Confidence,GMM_Prob_Cluster_0,GMM_Prob_Cluster_1,GMM_Prob_Cluster_2,GMM_Prob_Cluster_3,Hierarchical_Cluster,Spectral_Cluster,Birch_Cluster,KMeans_Cluster_Label,GMM_Cluster_Label,Hierarchical_Cluster_Label,Spectral_Cluster_Label,Birch_Cluster_Label
Austria,-1.1896470555155756,0.4581233661881668,0.2360199037836401,-0.3985903539666818,1.3598925626374885,1.766399738314672,2.3938043613232227,-0.6094130579614131,-0.985739726438428,1.6271196897897904,-0.2142526335895652,1.7441716889405985,1.9386670081156292,-0.3792871070933946,0.4483827625120443,1.4772003957052011,0.9871285539235508,-0.4013453095651272,-0.4575925528358964,-0.1042359225788613,3,3,1.0,8.237815836206784e-37,3.771752351383111e-37,2.2251205e-317,1.0,2,3,0,Developed,Developed,Developed,Developed,Developing
Azerbaijan,-0.5489318642207826,-0.1388359874463149,-0.1786332082031095,0.4023033021864001,0.2288436578555416,-0.3125721098899914,-0.4912846237367384,1.2996305147239475,0.3830156546068059,-0.0598847010027129,0.5997456301027756,-0.1727044877702306,-0.2426222311080404,-0.3649502986446682,-0.1082607928376446,-0.0736150714751983,0.9805811902172714,1.325513867808373,0.4946955743638477,0.6304323481777273,0,1,1.0,2.8916983907349046e-22,1.0,3.749949242686036e-35,5.8095931917570545e-123,2,0,0,Developing,Developing,Developed,Developing,Developing
Bahamas,-0.6239091738403904,0.0603610314384188,-0.6263187224014282,-0.3075797112220134,-0.4169730205885629,0.0387580163957586,1.2857926411065566,-1.2106443553695267,-0.6985694798269779,0.3784211126798256,-1.0509993299245843,0.3977943743460876,-0.1806628135335879,-0.7135370808207027,1.1437011966100838,0.5621658265196043,0.95640630884024,-0.3713362669595999,-0.3421640072361745,-0.0892549442092382,0,0,0.999764951427372,0.999764951427372,4.5019133390089375e-11,1.516158376138955e-70,0.00023504852760942752,2,0,0,Developing,Developing,Developed,Developing,Developing
Bahrain,-0.3989772449815766,-1.5450069093408718,-0.3939296448721001,-0.9810584675325597,0.0128793988377301,-1.057134120642361,0.1412109448250884,-1.3287433602175491,-0.8220258475290992,0.6905957569573167,-0.7127400271508533,1.1280329178549755,-1.0401511445022733,-0.6863271373402611,1.401610550543933,0.4385680125490309,1.909579351652688,0.48028998013379,-0.948161245632676,0.6754025710431901,0,0,0.9857746428962376,0.9857746428962376,0.008158545463672555,2.4697304668978098e-52,0.006066811640090001,2,0,0,Developing,Developing,Developed,Developing,Developing
Bangladesh,0.0304382555670531,-0.4452119520100436,-0.1116102119600943,0.3185735108613052,0.6563653694843875,-1.2795357602177435,-0.7124078851242008,0.2964599905887581,0.576251708401426,-0.9743356791893032,0.1437879149604079,-1.08550266715634,-0.5905481913338126,2.6433695690674925,-1.1612826524921789,-0.9842432149928964,-1.1344411284051945,1.972248565940824,0.7255526655632915,-0.6290067696211656,2,1,1.0,0.0,1.0,1.9477281958741727e-28,5.555029451641557e-168,2,2,3,Developing,Developing,Developed,Developing,Developing
Barbados,-0.8692894598681749,-0.16789432635339,-0.629559216891418,-0.6534201536517533,-0.7256002548369075,0.2837221411454574,0.4085390668009759,-0.228275360497341,-0.6207382914930342,1.1415146875803597,-0.5782275558724101,0.6716338281619209,0.7471397470684678,-0.7160775468199776,-0.9435501325882258,0.2158360488892068,1.5098544033282986,-0.3531426303710812,-0.6018756088335104,0.5404646146902081,0,0,0.9999999999901128,0.9999999999901128,9.71964465194058e-12,4.566224576756589e-89,1.6775619633850018e-13,2,0,0,Developing,Developing,Developed,Developing,Developing
Belarus,-1.121485864952298,2.916711518934625,0.099474637407574,0.2384841452459969,0.3399142339111058,-0.1159561676566819,-0.421551481604438,2.9322150533332563,-0.8810701972996748,-0.0516861749913844,1.035922099468902,-0.0357847608623141,1.4255159343579855,-0.3192662384840874,0.7416088495850756,-0.1156464296416649,0.5628929619807826,0.5954922122182872,-0.1690211888365916,1.035246217236673,2,1,1.0,3.766113462830565e-27,1.0,3.2990379415105294e-108,4.044070517299816e-17,2,0,3,Developing,Developing,Developed,Developing,Developing
Belgium,-1.0056118409947306,0.6501610841827516,0.759770836417454,-0.671622282200687,1.4581173636724036,1.3892839146868496,2.3938043613232227,-0.6845669701374273,-0.9803720582774684,1.6271196897897904,-0.7524014249322167,1.0595730544010176,2.0578197342203457,-0.2792438071235015,1.7794023931153746,1.347508212219598,0.8949058583000601,-1.3145741467845526,-0.4287327904339276,-0.8688934378312897,3,3,1.0,9.25444584572036e-72,4.731885627578211e-38,0.0,1.0,2,3,2,Developed,Developed,Developed,Developed,Developed
Belize,0.3098991368764854,-0.5298601566523933,-0.641436338751761,0.3021915951672648,-1.2924242345737773,-0.6252236901626284,-0.4496576640821896,-0.7328801993934364,-0.5026495919518761,-0.4698110015691154,0.0597176204113804,-0.5378237595246744,-0.658862420967183,-0.7158673562524154,-0.3843145234301565,-0.4982622870854891,-0.8894466129685187,-0.4098469335531409,-0.3133042448342057,-0.9288719268229688,1,0,0.9554289908287311,0.9554289908287311,4.838272461511144e-07,0.04457052534402222,4.349104128702222e-35,2,0,0,Underdeveloped,Developing,Developed,Developing,Developing
Benin,1.5027199717337962,1.3551416541891874,-0.6057041108739031,-0.2020073656381981,-0.6149791325568221,-0.7960539350538655,-0.7000581988839767,-0.0725993995613116,1.421659443752897,-1.0437078223620788,-0.2142526335895652,-0.83448316782516,-0.9051113882502626,-0.3699852575531435,-0.6218114536230099,-0.6966105217086854,-1.472665626189403,-0.0461592061273402,0.0906956647648209,-0.0292764552175587,1,2,0.999999999994353,2.156320127950359e-30,5.6477055958523095e-12,0.999999999994353,0.0,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Bermuda,-0.8897378170371635,-0.1622089991759189,-0.6408217824315456,-0.30029885980244,-0.6137069701186191,-0.1304606224115983,-0.4330494653453364,-0.228275360497341,-0.4248184036179325,2.043352548826445,-0.2142526335895652,0.8922267215135637,-0.4205569687577505,-0.7249919302538065,1.8879446463413037,-0.1659025525026109,0.7411267517628319,-0.3977500157651043,-0.948161245632676,0.954829198556746,0,0,0.999999999999325,0.999999999999325,6.758453907921152e-13,7.602932388693712e-89,3.618242285961257e-25,2,0,0,Developing,Developing,Developed,Developing,Developing
Bhutan,0.0236221365107233,-0.1754747625900186,-0.6421681768124753,0.5333586277387227,-1.3572297454479023,-0.5704290833107227,-0.6366063626842041,-0.0511268532253075,0.399118659089689,-0.7315331780845876,0.0943348005198034,-0.6701794955356605,-0.6286770636873208,-0.6998222048144376,-1.0047874038112123,-1.324497846563934,-0.3042689866731059,-0.3876478021435759,1.9952666671602324,0.5477504457005715,1,2,0.9999999902784182,9.71390354632752e-09,7.679048115406616e-12,0.9999999902784182,2.852883082164287e-148,0,1,0,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Developing
Bolivia,0.4871182323410011,1.827023809919301,-0.4825524192628329,0.5734033105463768,-0.1272164486930995,-0.3609202924063768,-0.6276634864412831,3.32207597274633,0.3722803182848828,-0.5234167485662605,0.2763222616612263,-0.5378237595246744,-0.5683063491275985,-0.3259270235786524,0.3978377132486261,-0.334542221567418,0.218456862731642,0.0602518478388484,0.3215527559642647,-0.1791953899401638,1,1,0.9998318911775617,3.1363925516447292e-15,0.9998318911775617,0.0001681088224345774,4.489553269422157e-136,0,1,1,Underdeveloped,Developing,Developing,Underdeveloped,Underdeveloped
Bosnia and Herzegovina,-1.2441760079661943,-0.5532331683819973,-0.3094175954858604,0.871918218748889,-0.1761478682634475,0.9477038477038444,-0.3291417604275881,0.6286134417238209,-0.8810701972996748,0.170304683161498,-0.4187412618014619,-0.1727044877702303,1.2745891479586788,-0.5643088823993833,-0.671060475982237,-0.0286128520563764,1.8173006956556392,0.5344124276447367,-0.8038781896350622,-0.0292764552175587,0,0,0.6415269001755729,0.6415269001755729,0.3584513044781877,3.8494474539821114e-75,2.1795346240512322e-05,2,0,0,Developing,Developing,Developed,Developing,Developing
Botswana,0.2212895891442275,-1.2910622954138224,-0.5882807355053581,1.7929459233249334,-0.2856493476116652,-0.5027416277877811,-0.3504343229107332,-0.746300540853439,0.4527953406993082,-0.8355913928437515,0.1259847937617903,0.2152347384688661,-0.820910128469596,-0.6478203190063364,0.0028735141966644,-0.3570007505484464,-0.8269948360778541,-0.3301150536754546,-3.3721607032268355,1.290141151573013,0,2,0.9999953734782333,3.82069907377457e-06,8.058226915237745e-07,0.9999953734782333,1.3889267433124885e-157,2,0,0,Developing,Underdeveloped,Developed,Developing,Developing
Brazil,-0.460322316488525,1.1871086509439257,2.400502510207962,3.070735347460078,1.5335888537372568,0.7156325716251821,0.0381549424066658,3.32207597274633,-0.4301860717788922,0.100932539988722,4.3527424850002125,0.1467748750149078,-0.188606328607236,2.6433695690674925,1.175777862488791,0.9351140004381142,0.95640630884024,1.972248565940824,-0.1401614264346228,0.6154513698081039,2,1,1.0,0.0,1.0,0.0,8.967172347410475e-69,3,2,3,Developing,Developing,Developing,Developing,Developing
