Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_trend,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend
Afghanistan,1.8026292102122081,-0.4028878496888688,-0.6166335962710133,-1.0134178071751083,-0.44651225224424074,-0.29544324621596035,1.1727426608710316,-0.6928961551396461,-0.04575871664130654,1.7625063719739635,-0.9685546672582385,0.28155016233066166,-1.165929945026716,-1.0828649733990687,-0.9236884444469843,1.8109720378622651,-2.0232300382926027,-1.0655703927379476,0.3459157128024747,-1.3430504258048532,-0.8276724263606194,-0.8365958772352005,-0.5161619087730712,-1.0813347338987063,0.21081986995796184,1.0718383023624571,-0.014541066657273633
Albania,-0.7193348406289776,-0.08703633982935469,-0.5969419920412159,-0.47139886816241655,-0.6388678517573685,-0.3374761594052884,-0.10306331898564552,-0.5016115165410638,0.43468950762678427,-0.5053334260323578,-0.17655603270238104,0.05872855812256929,0.778483491724659,0.7222732241461994,-0.012964806377661444,-0.43624564528247184,0.4416017626110128,0.321367339120949,-0.6027166012326866,-0.30849694953503,0.30390334662299895,0.37911557202554047,-0.5626882487671874,1.3560752967910703,-0.3170207833617899,-0.34216400723617457,0.24059945748840483
Algeria,-0.06498741122153417,1.4877992883301832,0.6794246344537419,-0.3985903539666818,0.24733800284468557,0.8940895178163966,-1.0668037571456372,-0.5500520961902191,0.899033322142872,-0.15643499556984689,-0.7315331780845876,-0.7018603419739198,0.05481082165553846,0.2208459470502918,-0.21834439673953615,-0.10382140426006618,0.5818580497892959,-0.5810159732454345,0.7416191051090263,0.39330161908396094,-0.3772716854990445,-0.010702229218722423,0.2595454187486001,-0.6732157295406259,1.9722485659408242,-0.7750184272330933,0.6904108371694064
Andorra,-1.0834292002211339,-0.1622089991759189,-0.6403467913825245,-0.30029885980244,-0.44651225224424074,-0.9862712982093633,-0.02892943912718331,2.3938043613232227,-0.22827536049734104,-1.0206295694846792,1.286039985856976,-0.21425263358956523,0.34720381966326436,0.2793457960448138,0.39779437434608766,-0.011771194021799623,0.29157352099817596,-0.42055696875775056,-0.7244599215527058,1.4560436805199206,0.06173990934270003,-0.010702229218722423,-0.5981328155936171,2.940369432590002,-0.39216806015784017,-0.29887698963525966,-1.1837668611593095
Angola,2.2593091869861563,0.3955847672359831,-0.3995568227812465,2.073258702978512,-0.40993251182001034,0.4869321870168312,-0.9314288460997535,-0.5906144277206106,-0.04173261420330578,2.997070048995156,-0.8702774644301394,4.3527424850002125,-1.9846303394483473,-2.060648163736089,-0.9942228492177292,1.6872446297687247,-1.8829737511143199,-0.9893126480309291,-0.00012599598559869107,-0.7663184534402164,-0.3702008687648205,-0.33306087202792645,0.0047107547963049674,-0.7347161800808055,1.653119964444957,1.2161266103641477,-0.5540473022598631
Antigua and Barbuda,-0.39216112592525576,0.008350816148218731,-0.6418890462700874,-0.49870206098581704,-0.6910237941542848,-1.3547875321359937,-0.7380361160341997,0.06200261238778854,-0.4570921823903843,-0.7602976636780385,0.3437350410934378,-0.33491823282463895,0.5738083931192519,0.6303448900119504,1.6300719165173356,-0.25810799146104874,0.40596286996734976,-0.010671590957527075,-0.7241708266088205,-1.1181897579278544,-0.32404497984664205,-1.148710879947438,-0.6167161367806165,0.8641276528431916,-0.37670909999197083,-0.6018756088335104,1.7699144879932613
Argentina,-0.46032231648852506,3.1851853023152112,1.4075941223252557,-0.15104140570118374,1.2113326048965898,1.3857715293073982,0.8800163921809031,0.07797203425014743,0.8520621270328632,-0.6019514529296661,0.17030468316149808,0.3673159922319367,0.734624542023501,0.5300594345927676,0.7400936916158788,-0.41463061615769686,0.17373524693445383,0.6375192390521289,0.9206217579213783,1.4767801109869634,0.8846433133404095,1.162862962172917,1.279349475098976,0.8334054077598807,1.9722485659408242,-0.6595898816333714,1.6499847977664963
Armenia,-0.8011282693049057,-0.30813239673101456,-0.5944298171597254,-0.7662733506551422,-0.6286843878584482,-0.4952185563408231,-0.6155540536593521,-0.6017930230242619,1.406322229330968,-0.4221345695374508,-0.4887306769798725,0.8074487107533129,0.5445690933184795,0.38798837274892717,-0.33244416916279956,-0.7947569904209852,0.679577594134821,0.7550832621421157,-0.6005842451724163,0.37288919534296494,-0.3793872460648714,-0.22253983372889327,-0.564216764128399,0.34145776381200144,-0.2423400094101198,-0.14016142643462287,1.0052569727408331
Aruba,-0.9510828885441117,-0.1622089991759189,-0.6179037575206184,-0.30029885980244,-0.44651225224424074,-0.9779188819559222,-0.13046062241159834,-0.43304946534533645,-0.22827536049734104,-0.4248184036179325,0.6905957569573167,-0.3299729213805784,0.5518789182686715,0.6136306474420861,1.1641645124556756,-0.8551300028039788,1.0440140124587205,0.3785606476512134,-0.7235222968202382,-0.44911586863966624,0.2801632908443377,-0.3205239769635513,-0.6145181070482232,1.2638526011675801,-0.3837307821219463,-0.7173041544332324,0.2076904230371013
Australia,-0.8352088645865446,0.24397604250341634,2.400502510207962,-1.1994840101197637,2.536517168198775,1.5335888537372568,0.9380342112005683,2.3938043613232227,-0.9435795603154763,-0.9642690537945818,2.022540905874612,-0.7127400271508533,1.1732140390350891,1.3323430779462204,0.8313735095544897,-1.0362490399529576,0.7301618288548586,1.1999201062663887,0.15084705662296682,1.3880022680499358,1.4772003957052013,1.5468060479152366,2.7188729495977753,0.0643979543266241,1.9722485659408242,-0.6307353712354793,-0.7189745031086846
Austria,-1.1896470555155756,0.4581233661881668,0.23601990378364016,-0.3985903539666818,0.20086507026887596,1.3598925626374883,1.7663997383146721,2.3938043613232227,-0.6094130579614131,-0.9857397264384281,1.6271196897897904,-0.21425263358956523,1.1001157895331575,1.1401292883927887,1.7441716889405983,-1.41413937672058,0.7795964218767116,1.9386670081156294,-0.3792871070933946,0.4483827625120443,1.4772003957052013,1.538865167507564,0.7168653798146094,0.9871285539235508,-0.4013453095651272,-0.45759255283589645,-0.10423592257886133
